METRIC,REDUND_MET
gregTol_.BCG_DO_att5,"X.BCG_DO_att5,X.BCG_totHab_att5,gregTol_.BCG_totHab_att5"
gregTol_.BCG_pctIMP_att2.3,"EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_.BCG_pctIMP_att5,"X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_TNTP_att5,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCG_RBS_att2.3,X.BCG_RBS_att2.3
gregTol_.BCG_RBS_att5,X.BCG_RBS_att5
gregTol_.BCG_spCond_att2.3,"X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3"
gregTol_.BCG_spCond_att5,X.BCG_spCond_att5
gregTol_.BCG_Sulfate_att2.3,X.BCG_Sulfate_att2.3
gregTol_.BCG_Sulfate_att5,X.BCG_Sulfate_att5
gregTol_.BCG_TNTP_att2.3,"X.EPT45,gregTol_.EPT45,X.BCGatt2.3,X.BCG_TNTP_att2.3,gregTol_.BCGatt2.3"
gregTol_.BCG_TNTP_att5,"FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_pctIMP_att5"
gregTol_.BCG_totHab_att2.3,"X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCG_totHab_att5,"NOINPTAX,FACLPTAX,X.BCG_DO_att5,X.BCG_totHab_att5,gregTol_.BCG_DO_att5"
gregTol_.BCGatt2.3,"X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCGatt5,"STOLPTAX,gregTol_STOLPTAX,X.BCGatt5,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
gregTol_.Chiro,"CHIRPIND,DIPTPIND,X.Chiro"
gregTol_.Clinger.HS,"CLNGPIND,X.Clinger.HS"
gregTol_.Collector,X.Collector
gregTol_.Ephem,"EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem.B"
gregTol_.Ephem.B,"EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem"
gregTol_.EPT.H.C,"EPOTPIND,EPT_PIND,X.EPT.H.C"
gregTol_.EPT45,"X.EPT45,X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.EPT65,"EPOTPTAX,EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_.GenusScraper,"SCRPPIND,X.GenusScraper"
gregTol_.PT...Hydropsychidae,X.PT...Hydropsychidae
gregTol_BCGatt2.3,"X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_BCGatt5,"STOLNTAX,gregTol_STOLNTAX,BCGatt5"
gregTol_Elmid,Elmid
gregTol_FACLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
gregTol_FACLPIND,"FACLPIND,TOLRPIND,gregTol_TOLRPIND"
gregTol_FACLPTAX,"FACLPTAX,TL45PTAX,TOLRPTAX,gregTol_TL45PTAX,gregTol_TOLRPTAX"
gregTol_Genus..2.Dominant,"HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant"
gregTol_Genus.EPT.Taxa,"EPOTPTAX,EPT_PTAX,X.EPT65,gregTol_.EPT65,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
gregTol_Genus.HBI,"NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI"
gregTol_Genus.Total.Taxa,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME"
gregTol_INTLNTAX,"TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
gregTol_INTLPIND,TL23PIND
gregTol_INTLPTAX,"TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
gregTol_NTOLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
gregTol_NTOLPIND,"NTOLPIND,TL45PIND,TL67PIND,WTD_TV,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
gregTol_NTOLPTAX,"X.EPT65,gregTol_.EPT45,gregTol_.EPT65,FACLPTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_STOLNTAX,"STOLNTAX,BCGatt5,gregTol_BCGatt5"
gregTol_STOLPIND,STOLPIND
gregTol_STOLPTAX,"STOLPTAX,TOLRPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
gregTol_TL01NTAX,"INTLNTAX,INTLPTAX,gregTol_TL01PTAX"
gregTol_TL01PIND,INTLPIND
gregTol_TL01PTAX,"INTLNTAX,INTLPTAX,gregTol_TL01NTAX"
gregTol_TL23NTAX,"X.EPT45,gregTol_.EPT45,TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
gregTol_TL23PIND,
gregTol_TL23PTAX,"X.EPT45,gregTol_.EPT45,TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX"
gregTol_TL45NTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX"
gregTol_TL45PIND,"NTOLPIND,TL45PIND,gregTol_NTOLPIND"
gregTol_TL45PTAX,"NTOLPTAX,TL45PTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX"
gregTol_TL67NTAX,TL67NTAX
gregTol_TL67PIND,"NTOLPIND,TL45PIND,TL67PIND,gregTol_NTOLPIND"
gregTol_TL67PTAX,"NTOLPTAX,TL45PTAX,TL67PTAX,gregTol_NTOLPTAX"
gregTol_TOLRNTAX,TOLRNTAX
gregTol_TOLRPIND,"FACLPIND,TOLRPIND,gregTol_FACLPIND"
gregTol_TOLRPTAX,"FACLPTAX,NTOLPTAX,STOLPTAX,TL45PTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
gregTol_WTD_TV,"NTOLPIND,WTD_TV,gregTol_NTOLPIND,Genus.HBI,gregTol_Genus.HBI"
HEMINTAX,HEMIPTAX
HEMIPIND,
HEMIPTAX,HEMINTAX
HPRIME,"TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
INTLNTAX,"INTLPTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
INTLPIND,gregTol_TL01PIND
INTLPTAX,"INTLNTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
MITENTAX,MITEPTAX
MITEPIND,
MITEPTAX,MITENTAX
MOLLNTAX,"MOLLPTAX,NOINNTAX"
MOLLPIND,
MOLLPTAX,"NOINPTAX,MOLLNTAX"
NOINNTAX,"NOINPTAX,MOLLNTAX"
NOINPIND,
NOINPTAX,"MOLLPTAX,NOINNTAX,X.BCG_totHab_att5,gregTol_.BCG_totHab_att5"
NTOLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
NTOLPIND,"TL45PIND,TL67PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
NTOLPTAX,"X.EPT65,gregTol_.EPT45,gregTol_.EPT65,FACLPTAX,NTOLNTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
ODONNTAX,ODONPTAX
ODONPIND,
ODONPTAX,ODONNTAX
OLLENTAX,OLLEPTAX
OLLEPIND,
OLLEPTAX,OLLENTAX
PLECNTAX,PLECPTAX
PLECPIND,SHRDPIND
PLECPTAX,PLECNTAX
PREDNTAX,PREDPTAX
PREDPIND,
PREDPTAX,PREDNTAX
SCRPNTAX,SCRPPTAX
SCRPPIND,"X.GenusScraper,gregTol_.GenusScraper"
SCRPPTAX,SCRPNTAX
SHRDNTAX,SHRDPTAX
SHRDPIND,PLECPIND
SHRDPTAX,SHRDNTAX
SPWLNTAX,SPWLPTAX
SPWLPIND,
SPWLPTAX,SPWLNTAX
STOLNTAX,"gregTol_STOLNTAX,BCGatt5,gregTol_BCGatt5"
STOLPIND,gregTol_STOLPIND
STOLPTAX,"TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
SWIMNTAX,SWIMPTAX
SWIMPIND,
SWIMPTAX,SWIMNTAX
TL01NTAX,
TL01PIND,
TL01PTAX,
TL23NTAX,"TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
TL23PIND,gregTol_INTLPIND
TL23PTAX,"TL23NTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
TL45NTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
TL45PIND,"NTOLPIND,TL67PIND,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND,Genus.HBI,gregTol_Genus.HBI"
TL45PTAX,"FACLPTAX,NTOLPTAX,TL45NTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX"
TL67NTAX,gregTol_TL67NTAX
TL67PIND,"NTOLPIND,TL45PIND,gregTol_NTOLPIND,gregTol_TL67PIND"
TL67PTAX,"NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL67PTAX"
TOLRNTAX,gregTol_TOLRNTAX
TOLRPIND,"FACLPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
TOLRPTAX,"FACLPTAX,NTOLPTAX,STOLPTAX,TL45PTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
TOTLNTAX,"EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME"
TRICNTAX,
TRICPIND,COFITRICPIND
TRICPTAX,
WTD_TV,"NTOLPIND,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
X.BCG_Acidity_att2.3,gregTol_.BCG_Acidity_att2.3
X.BCG_Acidity_att5,gregTol_.BCG_Acidity_att5
X.BCG_Alkalinity_att2.3,gregTol_.BCG_Alkalinity_att2.3
X.BCG_Alkalinity_att5,gregTol_.BCG_Alkalinity_att5
X.BCG_Chloride_att2.3,"EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
X.BCG_Chloride_att5,gregTol_.BCG_Chloride_att5
X.BCG_DO_att2.3,"X.BCGatt2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
X.BCG_DO_att5,"X.BCG_totHab_att5,gregTol_.BCG_DO_att5,gregTol_.BCG_totHab_att5"
X.BCG_pctIMP_att2.3,"EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att5,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
X.BCG_pctIMP_att5,"X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_TNTP_att5,X.BCG_pctIMP_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
X.BCG_RBS_att2.3,gregTol_.BCG_RBS_att2.3
X.BCG_RBS_att5,gregTol_.BCG_RBS_att5
X.BCG_spCond_att2.3,"X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_Chloride_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3"
X.BCG_spCond_att5,gregTol_.BCG_spCond_att5
